attr,term,type,l1,l2,criteria,ill,source,volume
,Бирюков Павел Петрович,биография,ТРАНСПОРТ,,,,,
,Блохин Сергей Иванович ,биография,ТРАНСПОРТ,,,,,
,Бобцов Владимир Вениаминович,биография,ТРАНСПОРТ,,,,,
,Богатырев Афанасий Данилович,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Бологов Николай Гаврилович ,биография,ТРАНСПОРТ,,,,,
,Большаков Александр Федорович ,биография,ТРАНСПОРТ,,,,,
,"Бондаренко Николай Петрович, засл. раб. транспорта РС(Я) (с. 136)",биография,ТРАНСПОРТ,,,,,
,Бородкин Алексей Александрович ,биография,ТРАНСПОРТ,,,,,
,"Бочонин Иван Иванович, поч. дорожник России, засл. раб. транспорта РС(Я)",биография,ТРАНСПОРТ,,,,,
,"Браташ Владимир Львович, засл. пилот СССР (с. 337)",биография,ТРАНСПОРТ,,,,,
,Броницкий Владимир Иванович,биография,ТРАНСПОРТ,,,,,
,Бублик Юрий Михайлович,биография,ТРАНСПОРТ,,,,,
,Бугреева Варвара Яковлевна,биография,ТРАНСПОРТ,,,,,
,Бузиков Алексей Григорьевич,биография,ТРАНСПОРТ,,,,,
,Бурков Анатолий Алексеевич,биография,ТРАНСПОРТ,,,,,
,Бурковский Борис Константинович,биография,ТРАНСПОРТ,,,,,
,"Вайзбурд Игорь Давыдович, засл. раб. транспорта РС(Я) (с. 338)",биография,ТРАНСПОРТ,,,,,
,Ванин Валерий Иванович,биография,ТРАНСПОРТ,,,,,
,Варнавский Олег Николаевич,биография,ТРАНСПОРТ,,,,,
,Васильев Валерий Васильевич ,биография,ТРАНСПОРТ,,,,,
,"Васильев Иннокентий Васильевич, засл. раб. транспорта РС(Я) (с. с. 100)",биография,ТРАНСПОРТ,,,,,
,"Васильев Михаил Егорович, засл. раб. транпорта ЯАССР",биография,ТРАНСПОРТ,,,,,
,Вахрамеев Петр Петрович,биография,ТРАНСПОРТ,,,,,
,Вдовин Николай Гаврилович,биография,ТРАНСПОРТ,,,,,
,Вепрев Лев Афанасьевич,биография,ТРАНСПОРТ,,,,,
,Вертолетная авиация Якутии,понятие,ТРАНСПОРТ,,отрасль авиации,,словарь,
,Верхне-Ленский район водных путей и судоходства,понятие,ТРАНСПОРТ,,ед. районирования,,,
,Верхнеленское речное пароходство (ООО),понятие,ТРАНСПОРТ,,предприятие,,словарь,
,Верхотуров Владимир Викторович ,биография,ТРАНСПОРТ,,,,,
,Ветошкин Анатолий Федорович,биография,ТРАНСПОРТ,,,,,
,Вильховой Александр Григорьевич ,биография,ТРАНСПОРТ,,,,,
,"Вилюй», федеральная автомобильная дорога",понятие,ТРАНСПОРТ,,дорога,,словарь,
,Вилюйский район водных путей и судоходства,понятие,ТРАНСПОРТ,,ед. районирования,,,
,"Винокуров Владимир Петрович, засл. раб. транспорта РС(Я) (с . 253)",биография,ТРАНСПОРТ,,,,,
,"Винокуров Петр Николаевич, засл. раб. н/х РС(Я)",биография,ТРАНСПОРТ,,,,,
,Витимский район водных путей и судоходства,понятие,ТРАНСПОРТ,,ед. районирования,,,
,Владимиров Вениамин Николаевич ,биография,ТРАНСПОРТ,,,,,
?,Водный транспорт/Годы Великой Отечественной войны 1941-1945 гг./Послевоенные годы/1950-60/1970-80/1990-2000,понятие,ТРАНСПОРТ,,вид транспорта,,словарь,
?,Воздушный транспорт/В годы Великой Отечественной войны 1941-1945/В послевоенные годы -1950-е гг./1960/1970/1980/1990/2000-е,понятие,ТРАНСПОРТ,,вид транспорта,,словарь,
,"Волобуев Василий Михайлович, засл. раб. транспорта РС(Я) с. 100)",биография,ТРАНСПОРТ,,,,,
,Воробьев Илья Захарович,биография,ТРАНСПОРТ,,,,,
,Вохмяков Дмитрий Степанович,биография,ТРАНСПОРТ,,,,,
,Вырдылин Василий Харлампьевич,биография,ТРАНСПОРТ,,,,,
,Высоких Василий Иванович ,биография,ТРАНСПОРТ,,,,,
,Гавриленко Владимир Прокопьевич,биография,ТРАНСПОРТ,,,,,
,Гаврилов Дмитрий Валентинович ,биография,ТРАНСПОРТ,,,,,
,Галибаров Алим Михайлович,биография,ТРАНСПОРТ,,,,,
,Галушкин Леонид Николаевич,биография,ТРАНСПОРТ,,,,,
,Ганчук Владимир Александрович ,биография,ТРАНСПОРТ,,,,,
,Гаринов Борис Алексеевич,биография,ТРАНСПОРТ,,,,,
,"Гарусов Виктор Михайлович, поч. раб. транспорта России",биография,ТРАНСПОРТ,,,,,
,Гераскин Петр Васильевич ,биография,ТРАНСПОРТ,,,,,
,Главинский Иннокентий Григорьевич,биография,ТРАНСПОРТ,,,,,
,Глаголев Петр Михайлович,биография,ТРАНСПОРТ,,,,,
,Глотов Николай Егорович ,биография,ТРАНСПОРТ,,,,,
,"Глуховченко Сергей Михайлович, засл. раб. транспорта РС(Я)",биография,ТРАНСПОРТ,,,,,
,Головаха Андрей Иванович,биография,ТРАНСПОРТ,,,,,
,Головченко Александр Афанасьевич ,биография,ТРАНСПОРТ,,,,,
,Голубцов Петр Григорьевич ,биография,ТРАНСПОРТ,,,,,
,Гомиловский Виктор Филатович ,биография,ТРАНСПОРТ,,,,,
,Горбачевский Александр Владимирович ,биография,ТРАНСПОРТ,,,,,
,Горелов Владимир Иннокентьевич ,биография,ТРАНСПОРТ,,,,,
,Горовацкий Наум Самойлович ,биография,ТРАНСПОРТ,,,,,
,Городской транспорт,понятие,ТРАНСПОРТ,,вид транспорта,,словарь,
,Горохов Александр Иванович ,биография,ТРАНСПОРТ,,,,,
,"Горохов Иван Иванович, засл. раб.  н/х РС(Я), поч. раб. транспорта России",биография,ТРАНСПОРТ,,,,,
,Готовцев Василий Гаврилович Гранин Александр ,биография,ТРАНСПОРТ,,,,,
,Гранин Александр Тимофеевич,биография,ТРАНСПОРТ,,,,,
,Григорьев Гаврил Николаевич,биография,ТРАНСПОРТ,,,,,
,"Григорьев Михаил Иннокентьевич, засл. раб. транспорта РС(Я) (с. 87)",биография,ТРАНСПОРТ,,,,,
,"Гринченко Олег Тимофеевич, засл. раб. транспорта РС(Я)",биография,ТРАНСПОРТ,,,,,
,Гриценко Евгений Александрович,биография,ТРАНСПОРТ,,,,,
,Грузинский Павел Александрович ,биография,ТРАНСПОРТ,,,,,
,Губский Иннокентий Михайлович,биография,ТРАНСПОРТ,,,,,
,Гудков Анатолий Иванович ,биография,ТРАНСПОРТ,,,,,
,"Гуркин Валерий Александрович, засл. раб. транспорта РС(Я) (с. 24)",биография,ТРАНСПОРТ,,,,,
,Давыдов Михаил Михайлович,биография,ТРАНСПОРТ,,,,,
,"Дальстрой""",понятие,ТРАНСПОРТ,,предприятие,,словарь,
,"Девятияров Александр Иванович, засл. раб. транспорта РС(Я) (с. 100)",биография,ТРАНСПОРТ,,,,,
,Дергилев Иван Семенович,биография,ТРАНСПОРТ,,,,,
,"Дмитриев Иван Александрович, засл. раб. реч. транспорта СССР",биография,ТРАНСПОРТ,,,,,
,"Долженко Юрий Анатольевич, д. техн. н., засл. раб. транспорта России",биография,ТРАНСПОРТ,,,,,
,Дорогонько Алексей Романович,биография,ТРАНСПОРТ,,,,,
,Дробыш Валерий Иосифович,биография,ТРАНСПОРТ,,,,,
,Дроздов Георгий Константинович,биография,ТРАНСПОРТ,,,,,
,Дроздов Степан Платонович,биография,ТРАНСПОРТ,,,,,
,Дружинин Николай Иннокентьевич,биография,ТРАНСПОРТ,,,,,
,Дубровский Василий Максимович,биография,ТРАНСПОРТ,,,,,
,Дудников Александр Николаевич,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,"Дьяков Николай Александрович, засл. раб. транспорта ЯАСР (с. 353)",биография,ТРАНСПОРТ,,,,,
,Дьяконов Станислав Викторович,биография,ТРАНСПОРТ,,,,,
,Дьячков Николай Алексеевич,биография,ТРАНСПОРТ,,,,,
,Дьячковский Вадим Николаевич,биография,ТРАНСПОРТ,,,,,
,Евдокимов Алексей Николаевич,биография,ТРАНСПОРТ,,,,,
,"Евдокимов Валерий Сергеевич, поч. работник возд. транспорта РС(Я)",биография,ТРАНСПОРТ,,,,,
,Евстифеев Владимир Васильевич,биография,ТРАНСПОРТ,,,,,
,Ем Леонид,биография,ТРАНСПОРТ,,,,,
,Емельянкин Владимир Федорович,биография,ТРАНСПОРТ,,,,,
,Еремицкий Евгений Петрович,биография,ТРАНСПОРТ,,,,,
,Ермолаев Егор Федотович,биография,ТРАНСПОРТ,,,,,
,"Ерхан Василий Дмитриевич, поч. дорожник, засл. раб. транспорта РС(Я)",биография,ТРАНСПОРТ,,,,,
,Ершов Александр Иванович,биография,ТРАНСПОРТ,,,,,
,Ефремов Николай Иванович,биография,ТРАНСПОРТ,,,,,
,Жатайский судоремонтно-судостроительный завод,понятие,ТРАНСПОРТ,,предприятие,,словарь,
,Железные дороги,понятие,ТРАНСПОРТ,,вид транспорта,,словарь,
,"Железные дороги Якутии"" (ОАО «АК «ЖДЯ»)",понятие,ТРАНСПОРТ,,предприятие,,словарь,
,Жиганский район водных путей и судоходства,понятие,ТРАНСПОРТ,,ед. районирования,,,
,Заворотных Анатолий Иванович,биография,ТРАНСПОРТ,,,,,
,Загоскин Василий Яковлевич,биография,ТРАНСПОРТ,,,,,
,Загудаев Виктор Анатольевич,биография,ТРАНСПОРТ,,,,,
,Займов Владимир Павлович,биография,ТРАНСПОРТ,,,,,
,"Заровняев Иннокентий Петрович, засл. штурман СССР",биография,ТРАНСПОРТ,,,,,
,Захаров Борис Петрович,биография,ТРАНСПОРТ,,,,,
,Захарова Вера Кирилловна,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Зимник,понятие,ТРАНСПОРТ,,дорога,,словарь,
,Зинченко Виктор Харлампьевич,биография,ТРАНСПОРТ,,,,,
,"Зинштейн Марк Израилович, засл. раб. транспорта ЯАССР (с. 79)",биография,ТРАНСПОРТ,,,,,
,Золотарев Анатолий Иванович ,биография,ТРАНСПОРТ,,,,,
,Зотов Анатолий Андреевич,биография,ТРАНСПОРТ,,,,,
,Зуев Виктор Николаевич,биография,ТРАНСПОРТ,,,,,
,Зуев Иван Петрович,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Зуев Иван Петрович,биография,ТРАНСПОРТ,,,,,
,Зыков Александр Владимирович,биография,ТРАНСПОРТ,,,,,
,Ибрагимов Рафаил Маликович,биография,ТРАНСПОРТ,,,,,
,Иванов Виталий Степанович ,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Иванов Виталий Степанович ,биография,ТРАНСПОРТ,,,,,
,Иванов Вячеслав Иванович,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Иванов Григорий Гурьянович,биография,ТРАНСПОРТ,,,,,
,Иванов Егор Ефремович,биография,ТРАНСПОРТ,,,,,
,"Иванов Никита Иванович, засл. раб. транспорта РФ",биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,"Иванов Никита Иванович, засл. раб. транспорта РФ",биография,ТРАНСПОРТ,,,,,
,"Иванов Семен Семенович,  засл. раб. н/х ЯАССР (с. 289)",биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,"Иванов Семен Семенович,  засл. раб. н/х ЯАССР (с. 289)",биография,ТРАНСПОРТ,,,,,
,Ивлиев Василий Григорьевич ,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Ивлиев Василий Григорьевич ,биография,ТРАНСПОРТ,,,,,
,Илларионов Андрей Аркадьевич,биография,ТРАНСПОРТ,,хоз. деятели,,словарь,
,Илларионов Андрей Аркадьевич,биография,ТРАНСПОРТ,,,,,
,Иркутско-Якутский тракт,понятие,ТРАНСПОРТ,,дорога,,словарь,
,Исаев Андрей Михайлович,биография,ТРАНСПОРТ,,,,,
,Исаков Аркадий Николаевич,биография,ТРАНСПОРТ,,,,,
,Иустинов Митрофан Константинович,биография,ТРАНСПОРТ,,,,,
,ОХОТСКО-ПЕТРОПАВЛОВСКИЙ ТРАКТ,понятие,ТРАНСПОРТ,,,,,
,РЕЧНОЙ ТРАНСПОРТ,понятие,ТРАНСПОРТ,,,,,
?,"Северный морской путь/Главное управление Северного морского пути (ГУСМП, «Главсевморпуть»)",понятие,ТРАНСПОРТ,,предприятие,,словарь,
?,СЕВЕРО-ВОСТОЧНОЕ УПРАВЛЕНИЕ МОРСКОГО ФЛОТА СССР,понятие,ТРАНСПОРТ,,,,,
,СЕВЕРО-ЯКУТСКОЕ РЕЧНОЕ ПАРОХОДСТВО,понятие,ТРАНСПОРТ,,,,,
,ТИКСИНСКИЙ МОРСКОЙ ПОРТ,понятие,ТРАНСПОРТ,предприятие,порт,,,
,ТРУБОПРОВОДНЫЙ ТРАНСПОРТ,понятие,Транспорт,,,,,
,ЯКУТСКИЙ РЕЧНОЙ ПОРТ,понятие,ТРАНСПОРТ,,,,,
,ЯКУТСКО-АЯНСКИЙ ТРАКТ,понятие,ТРАНСПОРТ,,,,,
,ЯКУТСКО-ВИЛЮЙСКИЙ ТРАКТ,понятие,ТРАНСПОРТ,,,,,
,ЯКУТСКО-ЖИГАНСКИЙ ТРАКТ,понятие,ТРАНСПОРТ,,,,,
,ЯКУТСКО-КОЛЫМСКИЙ ТРАКТ,понятие,ТРАНСПОРТ,,,,,
,ЯКУТСКО-ОХОТСКИЙ ТРАКТ,понятие,ТРАНСПОРТ,,,,,
,АММОСОВ Александр Прокопьевич ,биография,ФИЗМАТ,,,,,
,АНТОНОВ Юрий Саввич ,биография,ФИЗМАТ,,,,,
,АРЖАКОВ Валерий Григорьевич ,биография,ФИЗМАТ,,,,,
,АРКТИЧЕСКОЕ МАТЕРИАЛОВЕ́ДЕНИЕ ,понятие,ФИЗМАТ,материаловедение,научное направление,,,
,АЩЕПКОВ Леонид Тимофеевич   ,биография,ФИЗМАТ,,,,,
,БЕРЕЖКО Евгений Григорьевич ,биография,ФИЗМАТ,,,,,
,БЕРЕЖНОВ Константин Порфирьевич,биография,ФИЗМАТ,,,,,
,БЕСКОНЕЧНЫЙ ОПРЕДЕЛИТЕЛЬ ФЕДОРОВА,понятие,ФИЗМАТ,,,,,
,БОЛОТИНА Наталия Павловна ,биография,ФИЗМАТ,,,,,
,БОЛЬШАКОВ Александр Михайлович,биография,ФИЗМАТ,,,,,
,БОНДАРЕВ Эдуард Антонович ,биография,ФИЗМАТ,,,,,
,ВАСИЛЬЕВ Василий Иванович                                                                                                                                                ,биография,ФИЗМАТ,,,,,
,ВЕРШИНИН Евгений Федорович ,биография,ФИЗМАТ,,,,,
,ВЯЗКОХРУПКИЙ ПЕРЕХОД.                                                                                                                        ,понятие,ФИЗМАТ,,материаловедение,,,
,ГАВРИЛЬЕВ Рев Иванович ,биография,ФИЗМАТ,,,,,
,ГАДОЕВ Махмадрахим Гафурович ,биография,ФИЗМАТ,,,,,
,ГАЗОВЫЕ ГИДРАТЫ,понятие,ФИЗМАТ,,,,,
,ГАУССОВА БЕСКОНЕЧНАЯ МАТРИЦА,понятие,ФИЗМАТ,,,,,
,ГАУССОВА БЕСКОНЕЧНАЯ СИСТЕМА,понятие,ФИЗМАТ,,,,,
,ГЕЛЬБЕРГ Михаил Германович,биография,ФИЗМАТ,,,,,
,ГЛАВНОЕ НЕТРИВИАЛЬНОЕ РЕШЕНИЕ ,понятие,ФИЗМАТ,,,,,
,ГЛАВНОЕ ФУНДАМЕНТАЛЬНОЕ РЕШЕНИЕ ,понятие,ФИЗМАТ,,,,,
,ГЛАВНЫЕ ХАРАКТЕРИСТИЧЕСКИЕ ЧИСЛА S(J),понятие,ФИЗМАТ,,,,,
,ГОГОЛЕВ Михаил Михайлович.,биография,ФИЗМАТ,,,,,
,ГОЛИКОВ Иннокентий Алексеевич.,биография,ФИЗМАТ,,,,,
,ГРАНИЧНЫЙ МЕТОД РЕШЕНИЯ ,понятие,ФИЗМАТ,,,,,
,ГРИГОРЬЕВ Иван Николаевич ,биография,ФИЗМАТ,,,,,
,ГРИГОРЬЕВ Руслан Спиридонович,биография,ФИЗМАТ,,,,,
,ГРИГОРЬЕВ Юрий Михайлович ,биография,ФИЗМАТ,,,,,
,ГУРЧЕНКОВ Сергей Алексеевич ,биография,ФИЗМАТ,,,,,
,ГУСЕВ Евгений Леонидович,биография,ФИЗМАТ,,,,,
,ДАВЫДОВ Владимир Моисеевич ,биография,ФИЗМАТ,,,,,
,ДАНИЛОВ Афанасий Афанасьевич ,биография,ФИЗМАТ,,,,,
,ДАНИЛОВ Николай Николаевич ,биография,ФИЗМАТ,,,,,
,ДОРДИН Юрий Романович ,биография,ФИЗМАТ,,,,,
,ЕГОРОВ Иван Егорович ,биография,ФИЗМАТ,,,,,
,ЕГОРОВ Иннокентий Герасимович ,биография,ФИЗМАТ,,,,,
,ЕГОРОВ Торий Алексеевич ,биография,ФИЗМАТ,,,,,
,ЕФИМОВ Никодим Николаевич ,биография,ФИЗМАТ,,,,,
,ЕФРЕМОВ Владимир Николаевич ,биография,ФИЗМАТ,,,,,
,ЗАРОВНЯЕВ Борис Николаевич,биография,ФИЗМАТ,,,,,
,ЗЫРЯНОВ Игорь Владимирович ,биография,ФИЗМАТ,,,,,
,ИВАНОВ Анатолий Александрович.,биография,ФИЗМАТ,,,,,
,ИВАНОВ Николай Сергеевич ,биография,ФИЗМАТ,,,,,
,ИСХОКОВ Сулаймон Абунасрович.     ,биография,ФИЗМАТ,,,,,
,"ПОГРАНИЧНЫЙ МЕТОД И БЕСКОНЕЧНЫЕ СИСТЕМЫ ЛИНЕЙНЫХ АЛГЕБРАИЧЕСКИХ УРАВНЕНИЙ, ",понятие,ФИЗМАТ,,,,,
,СЕВЕРНОЕ МАТЕРИАЛОВЕДЕНИЕ В ЯКУТИИ,понятие,ФИЗМАТ,материаловедение,научная школа,,,
?,ЛИТЕРАТУРНАЯ КРИТИКА /КРИТИКА И ЛИТЕРАТУРОВЕДЕНИЕ,понятие,ФИЛОЛОГИЯ,ЛИТ,,,,
,Литературоведение,понятие,ФИЛОЛОГИЯ,ЛИТ,,,,
,РУСИЗМЫ В ЯКУТСКОМ ЯЗЫКЕ,понятие,Филология,Языкознание,,,,
,ТЮРКОЛОГИЯ,понятие,ФИЛОЛОГИЯ,Языкознание,,,,
н,Тюркские языки,понятие,ФИЛОЛОГИЯ,Языкознание,,,,
,ФОНЕТИКА,понятие,ФИЛОЛОГИЯ,Языкознание,,,,
,Борисов Моргий Николаевич,биография,ФИЛОС,,философы,,,
,Васильев Николай Васильевич,биография,ФИЛОС,,философы,,,
,Веселова Вера Васильевна,биография,ФИЛОС,,философы,,,
,Винокуров Василий Васильевич,биография,ФИЛОС,,философы,,,
,Винокурова Надежда Ивановна ,биография,ФИЛОС,,философы,,,
,Грудинин Александр Георгиевич ,биография,ФИЛОС,,философы,,,
,Данилова Вера Софроновна,биография,ФИЛОС,,философы,,,
,Донской Дмитрий Емельянович,биография,ФИЛОС,,философы,,,
,Дудкин Михаил Петрович,биография,ФИЛОС,,философы,,,
,Дьячковский Ким Дмитриевич,биография,ФИЛОС,,философы,,,
,Жондоров Петр Николаевич ,биография,ФИЛОС,,философы,,,
,Заярная Любовь Дмитриевна,биография,ФИЛОС,,философы,,,
?,ААБАХЫ/Абааhы/аабасы,понятие,ФОЛК,,персонаж,,словарь,
,Аал Кудук Мас,понятие,ФОЛК,,картина мира,,словарь,
,Аан Алахчын Хотун,понятие,ФОЛК,,персонаж,,словарь,
,Аан Дархан (Уххан) Тойон,понятие,ФОЛК,,персонаж,,словарь,
?,АБААХЫ АЙМАГЫАбааhы аймага,понятие,ФОЛК,,персонаж,,словарь,
,Абрамов Николай Алексеевич – Кынат Ньукулай,биография,ФОЛК,,олонхосут,,словарь,
,Адьарай,понятие,ФОЛК,,персонаж,,словарь,
,Айталыын Куо,понятие,ФОЛК,,персонаж,,словарь,
,Айыы,понятие,ФОЛК,,персонаж,,словарь,
,Айыы аймаҕа,понятие,ФОЛК,,персонаж,,словарь,
?,Айыыhыт,понятие,ФОЛК,,персонаж,,словарь,
,Алаа Моҥус,понятие,ФОЛК,,персонаж,,словарь,
,Алексеев Иван Егорович – Хомус Уйбаан,биография,ФОЛК,,олонхосут,,словарь,
,Алексеев Николай Михайлович,биография,ФОЛК,,собиратель фольклора,,словарь,
,Алексеев Николай Тимофеевич ,биография,ФОЛК,,,,ЭКиИЯ,
,Алексеев Роман Петрович – Бөҕө уола Арамаан,биография,ФОЛК,,олонхосут,,словарь,
,"Алексеев Савва Тимофеевич, певец-импровизатор, запевала осуохайа (ЭКиИЯ)",биография,ФОЛК,,исполнитель,,ЭКиИЯ,
,Алексеев Семен Григорьевич – Уустарабыс,биография,ФОЛК,,олонхосут,,словарь,
,Алтан Айыыта,понятие,ФОЛК,,персонаж,,словарь,
,Ардьамаан-Дьардьамаан,понятие,ФОЛК,,персонаж,,словарь,
,Арсан Дуолай,понятие,ФОЛК,,персонаж,,словарь,
,Арчы,понятие,ФОЛК,,персонаж,,словарь,
,Афанасьев Семен Семенович – ЫРЫА СИЭНЧЭ,биография,ФОЛК,,олонхосут,,ЭКиИЯ,
,Баай Байанай,понятие,ФОЛК,,персонаж,,словарь,
,Бахсы тойоно,понятие,ФОЛК,,персонаж,,словарь,
,Березкин Иван Георгиевич,биография,ФОЛК,,собиратель фольклора,,словарь,
,Болугур Айыыта,понятие,ФОЛК,,персонаж,,словарь,
,Борисов Тихон Петрович – Ырыа Тиихээн,биография,ФОЛК,,олонхосут,,словарь,
,Босхоҥ  Бэлгэтии,биография,ФОЛК,,,,ЭКиИЯ,
,Бурнашев Иннокентий Иванович – Тон Суорун,биография,ФОЛК,,олонхосут,,словарь,
,Бурнашев Николай Петрович – Боодьоҕос,биография,ФОЛК,,олонхосут,,словарь,
,Быркыҥаа Боотур,понятие,ФОЛК,,персонаж,,словарь,
,Бэйбэрикээн Эмээхсин,понятие,ФОЛК,персонаж,,,словарь,
,Бэрт Хара,понятие,ФОЛК,персонаж,,,словарь,
,Васильев Виктор Николаевич,биография,ФОЛК,,,,словарь,
,Винокуров Иван Николаевич - Табахыров,биография,ФОЛК,,собиратель фольклора,,словарь,
,Габышева Луиза Львовна,биография,ФОЛК,,,,словарь,
,Герасимова Мария Андреевна,биография,ФОЛК,,,,словарь,
,Гермогенов Георгий Устинович – Эргис,биография,ФОЛК,,собиратель фольклора,,словарь,
,Говоров Дмитрий Михайлович – Ырыа Миитэрэй,биография,ФОЛК,,собиратель фольклора,,словарь,
,Гоголева Федора Семеновна,биография,ФОЛК,,"исполнитель, хомусист",,словарь,
,Григорьева Екатерина Николаевна – Күбэй Кэтириинэ,биография,ФОЛК,,собиратель фольклора,,словарь,
,Давыдов Илларион Михайлович,биография,ФОЛК,,,,словарь,
,Дегтярева Альбина Михайловна,биография,ФОЛК,,,,словарь,
,Догоюков Иван Павлович – Догойук Уола,биография,ФОЛК,,собиратель фольклора,,словарь,
,Доодор Кулуба,понятие,ФОЛК,,персонаж,,словарь,
,Дыырай Бэргэн (Бɵҕɵ),понятие,ФОЛК,,персонаж,,словарь,
?,Дьɵhɵгɵй Айыы,понятие,ФОЛК,,персонаж,,словарь,
?,Дьыл Оҕуhа,понятие,ФОЛК,,персонаж,,словарь,
?,Дьылҕа Хаан,понятие,ФОЛК,,персонаж,,словарь,
,Дьяконов Степан Константинович,биография,ФОЛК,,,,словарь,
,Дьячковский Дмитрий Иванович – Сэhэн Боло,биография,ФОЛК,,собиратель фольклора,,словарь,
,"Егоров Егор Минович – МИИНЭ УОЛА ДЬƟГҮƟССЭ, известный сказитель",биография,ФОЛК,,олонхосут,,ЭКиИЯ,
,"Егоров Николай Николаевич - НЬУКУТТА, народный певец",биография,ФОЛК,,олонхосут,,ЭКиИЯ,
,"Егоров Роман Яковлевич, исполнитель тойука ",биография,ФОЛК,,исполнитель,,ЭКиИЯ,
,Егоров Семен Степанович,биография,ФОЛК,,,,словарь,
,"Егорова Маия Ивановна, импровизатор",биография,ФОЛК,,исполнитель,,ЭКиИЯ,
,Емельянов Николай Васильевич,биография,ФОЛК,,,,словарь,
,Ефремов Прокопий Елисеевич,биография,ФОЛК,,,,словарь,
,Загадка,понятие,ФОЛК,,жанр,,словарь,
,Запевала осуохая,понятие,ФОЛК,,,,словарь,
,Захаров Тимофей Васильевич – Чээбий,биография,ФОЛК,,собиратель фольклора,,словарь,
,Зверев Сергей Афанасьевич – Кыыл Уола,биография,ФОЛК,,собиратель фольклора,,словарь,
,Иванова Екатерина Егоровна,биография,ФОЛК,,,,словарь,
,Илбис,понятие,ФОЛК,,персонаж,,словарь,
,Илгэ,понятие,ФОЛК,,персонаж,,словарь,
,Илларионов Василий Васильевич,биография,ФОЛК,,,,словарь,
,Ионова-Андросова Мария Николаевна,биография,ФОЛК,,,,словарь,
,Иччи,понятие,ФОЛК,,персонаж,,словарь,
,Иэйиэхсит,понятие,ФОЛК,,персонаж,,словарь,
?,ПЕСНИ НАРОДНЫЕ ЯКУТСКИЕ,понятие,ФОЛК,,,,,
,ПОСЛОВИЦЫ И ПОГОВОРКИ,понятие,ФОЛК,,,,,
,ПРЕДАНИЯ ,понятие,ФОЛК,,,,,
,ЭЛЛЭЙ БООТУР,понятие,Фолк,,,,,
,НЬУРГУН БООТУР,понятие,ФОЛЬК,,,,,
,Алексеев Эдуард Ефимович,биография,ФОЛЬКЛОР,,актер/режиссер,,словарь,
н,"Модун Эр Соҕотох», сказание",понятие,Фольклор,произведение,эпиеское сказание,,,
,ОСУОХАЙ,понятие,фольклор,жанр ,,,,
,"ТОЙУК, ПЕСНЯ",понятие,фольклор,народная музыка,,,,
н,УСТНОЕ ПОЭТИЧЕСКОЕ НАРОДНОЕ ТВОРЧЕСТВО,понятие,ФОЛЬКЛОР,,,,,
н,фольклористика,понятие,Фольклор,наука,,,,
,ЧАБЫРҔАХ (скороговорка),понятие,Фольклор,устное народное творчество,жанр,,,
,ЧАБЫРҔАХСЫТ,понятие,Фольклор,,,,,
,Брюханов Иван Михайлович,биография,ХИМ,,,,,
,Глязнецова Юлия Станиславовна,биография,ХИМ,,,,,
,Григорьев Анатолий Петрович ,биография,ХИМ,,,,,
,Григорьева Тамара Антоновна,биография,ХИМ,,,,,
,Дранаева Ада Гаврильевна,биография,ХИМ,,,,,
,Егоров Николай Васильевич,биография,ХИМ,,,,,
,Иванова Зинаида Степановна ,биография,ХИМ,,,,,
,Иванова Изабелла Карловна ,биография,ХИМ,,,,,
,Игнатьева Лидия Афанасьевна ,биография,ХИМ,,,,,
,Изосимова Аксинья Николаевна ,биография,ХИМ,,,,,
?,ЭКСПЕРТИЗА ЭКОЛОГИЧЕСКАЯ,понятие,ХИМИЯ,,,,,
,КООПЕРАЦИЯ,понятие,ЭКО,,,,,
,Абрамов Валерий Степанович ,биография,ЭКОН/нархоз,,,,,
,Абрамов Эдуард Филиппович ,биография,ЭКОН/нархоз,,,,,
,Агарков Николай Михайлович ,биография,ЭКОН/нархоз,,,,,
,Аграшкина Лидия Викторовна,биография,ЭКОН/нархоз,,,,,
,Адамов Александр Лазаревич,биография,ЭКОН/нархоз,,,,,
,Адамов Егор Егорович ,биография,ЭКОН/нархоз,,,,,
,Адамов Николай Михайлович ,биография,ЭКОН/нархоз,,,,,
,Акимов Афанасий Петрович ,биография,ЭКОН/нархоз,,,,,
,Александров Владилен Владимирович ,биография,ЭКОН/нархоз,,,,,
,Александров Иван Васильевич ,биография,ЭКОН/нархоз,,,,,
,Александров Иван Николаевич ,биография,ЭКОН/нархоз,,,,,
,Александров Лаврентий Игнатьевич ,биография,ЭКОН/нархоз,,,,,
,Александров Лаврентий Лаврентьевич,биография,ЭКОН/нархоз,,,,,
,Алексеев Анатолий Гаврильевич ,биография,ЭКОН/нархоз,,,,,
,Алексеев Вячеслав Петрович ,биография,ЭКОН/нархоз,,,,,
