attr,term,type,l1,l2,criteria,ill,source,volume
,ЛЕНСКИЙ КРАЙ,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,ист. наименование терр. Якутии в 16 в.,,,
н,Муниципальный район,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,муниц.образование,,,
,Абага (Амгинский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Абага (Олекминский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Абага Центральная,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Абалах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Абый,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Авиапорт,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Агдары,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Айхал,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Акана,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Алдан,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Алеко-Кюель,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Алексеевск,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Аллага,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Алмазный,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Алтанцы,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Амакинский,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Амга,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Андреевский,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Андрюшкино,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Антоновка,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Аппаны,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Аргас,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Аргахтах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Артык,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Арыктах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Арылах (Жархан) (Сунтарский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Арылах (Мирнинский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Арылах (Сунтарский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Арылах (Чурапчинский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Асыма,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Багадя (Верхневилюйский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Багадя (Кобяйский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бала,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Балаганнах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Балагаччы,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Балыктах (Мегино-Кангаласский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Балыктах (Усть-Алданский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Барылас,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Батагай,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Батагай – Алыта,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Баханай,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бедьиме,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бейдинга,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Беке,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Белая Гора,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Белькачи,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бердигестях,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Березовка,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Беркакит,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бестях (Жиганский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бестях (Хангаласский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бетенкес,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бетюнг,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бетюнцы,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Беченча,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Болугур,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Большой Нимныр,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Боробул,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Борогонцы,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Боронук,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Ботулу,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бриндакит,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Булгунняхтах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Булун,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Булунг,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Булус,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Буор-Сысы,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Быковский,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Быракан,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бырама,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бысыттаах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бютейдях,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бютяй-Юрдя,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бярийе,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бясь-Кюель (Горный район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Бясь-Кюель (Олекминский район),понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Верхневилюйск,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Верхнеколымск,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Верхоянск,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Вилюйск,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Витим,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Владимировка,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Власово,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Дабан,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Дайя-Амгата,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Далыр,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Даркылах,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Дебдирге,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Дельгей,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
,Депутатский,понятие,ИСТОРИЯ,АДМИНИСТРАТИВНО-ТЕРРИТОРИАЛЬНОЕ УСТРОЙСТВО,насел. пункт,И,,
